incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
"Sky Fire ",True,2019-10-29T11:40:36Z,2019-10-27T11:29:03Z,"Unified Command: CAL FIRE Santa Clara Unit, Crockett Fire and Contra Costa Fire. ",,Contra Costa,"Commings Skyway and I-80, south of Crockett",150,100,,"Santa Clara Unit, Contra Costa Fire",-122.2241,38.03545,Wildfire,64104ca2-a187-4b11-bb43-e22253bbcb52,https://www.fire.ca.gov/incidents/2019/10/27/sky-fire/,2019-10-28T16:30:00Z,2019-10-28,2019-10-27,N,True,False
"Glencove Fire ",True,2019-10-28T16:30:13Z,2019-10-27T11:52:15Z,Vallejo city fire,,Solano,"Glen Cove Pkwy and Lookout Dr, south of Vallejo",140,100,,Vallejo City Fire,-122.22463,38.07205,Wildfire,c9f9ded3-170f-4b04-a50e-2c03153c663f,https://www.fire.ca.gov/incidents/2019/10/27/glencove-fire/,2019-10-28T16:28:00Z,2019-10-28,2019-10-27,N,False,False
Burris Fire,True,2019-11-03T18:54:27Z,2019-10-27T14:54:40Z,CAL FIRE Mendocino Unit,,Mendocino,"Potter Valley Road and  Highway 20, east of Calpella in Mendocino County",703,100,,CAL FIRE Mendocino Unit,-123.12887,39.22431,Wildfire,9cc1af36-29f2-4af5-afa7-23b9ce17630e,https://www.fire.ca.gov/incidents/2019/10/27/burris-fire/,2019-11-03T18:52:00Z,2019-11-03,2019-10-27,N,True,False
Forest Fire,True,2019-10-28T16:28:20Z,2019-10-27T17:36:15Z,"Contra Costa Fire Department ",,Contra Costa,"Alhambra Ave and Alhambra Hills Dr, Martinez in Contra Costa County",50,100,,,-122.11092,37.97911,Wildfire,b36ed23e-a3de-4aff-bdbc-d6ebf8d8f077,https://www.fire.ca.gov/incidents/2019/10/27/forest-fire/,2019-10-28T16:26:00Z,2019-10-28,2019-10-27,N,False,False
"Getty Fire ",True,2019-11-08T15:26:39Z,2019-10-28T06:46:55Z," Los Angeles Fire Department",,Los Angeles,"East Sepulveda Blvd and I-405 near Los Angeles City ",745,100,," Los Angeles Fire Department",-118.478717,34.098191,Wildfire,e693477a-37d2-4aba-9e73-a63421a2b3a6,https://www.fire.ca.gov/incidents/2019/10/28/getty-fire/,2019-11-05T17:30:00Z,2019-11-05,2019-10-28,N,False,False
Easy Fire,True,2019-11-02T19:00:24Z,2019-10-30T07:45:14Z,Ventura County Fire Department,,Ventura,"West Easy Street and West Los Angeles Avenue, Simi Valley",1806,100,,"Ventura County Emergency, Ventura County Fire Department",-118.803389,34.282179,Wildfire,00e6d6d5-f168-45fa-817a-f7758a5170b7,https://www.fire.ca.gov/incidents/2019/10/30/easy-fire/,2019-11-02T18:57:00Z,2019-11-02,2019-10-30,N,True,False
"Hill Fire ",True,2019-11-02T18:52:09Z,2019-10-30T11:19:00Z,"CAL FIRE Riverside County Fire Department ",,Riverside,"Granite Hill and Pyrite Street, in Jurupa Valley ",494,100,,"CAL FIRE: Riverside County Fire Department ",-117.4625,34.01778,Wildfire,8f23653c-1a4c-4609-bfb3-72b1665eab69,https://www.fire.ca.gov/incidents/2019/10/30/hill-fire/,2019-11-02T18:44:00Z,2019-11-02,2019-10-30,N,True,False
46 Fire,True,2019-11-03T16:16:03Z,2019-10-31T06:22:34Z,CAL FIRE Riverside County Fire Department,,Riverside,"5300 block of 46th Street, East Jurupa Valley ",328,100,," CAL FIRE Riverside County Fire Department",-117.414111,33.985972,Wildfire,e59fa47f-0f47-49a9-a2c5-092cfaf68ed5,https://www.fire.ca.gov/incidents/2019/10/31/46-fire/,2019-11-03T16:15:00Z,2019-11-03,2019-10-31,N,True,False
Copper Fire,True,2019-11-01T07:25:07Z,2019-10-31T06:39:56Z,"CAL FIRE San Diego ",,San Diego,"off of Border road and Canyon Road, Southeast of Chula Vista ",50,100,,,-116.834583,32.564583,Wildfire,e471b23c-f00c-44bc-afc1-6ab02b0af4c3,https://www.fire.ca.gov/incidents/2019/10/31/copper-fire/,,,2019-10-31,N,True,False
Hillside Fire,True,2019-11-12T09:03:33Z,2019-10-31T06:53:47Z,San Bernardino County Fire Department/ San Bernardino Nation Forest Service,,San Bernardino,"off of W 59th and Hill Dr, in San Bernardino National Forest",200,100,,"San Bernardino County Fire Department , San Bernardino National Forest Service ",-117.285,34.183,Wildfire,dfc32e06-b88e-4d30-ae3d-22bc18792f5e,https://www.fire.ca.gov/incidents/2019/10/31/hillside-fire/,2019-11-05T09:03:00Z,2019-11-05,2019-10-31,N,False,False
"Maria Fire ",True,2020-03-03T15:19:43Z,2019-10-31T20:58:28Z,"Ventura County Fire Department ",,Ventura,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",9999,100,,"Venture County Fire Department, Cooperating Agencies: Ventura County OES, Ventura County Animal Services, CHP, California Department of Corrections and Rehabilitation, Cal Resources Corporation, So Cal Gas, United Water, So Cal Edison, California Conservation Corps ",-118.997115,34.302212,Wildfire,31852a71-e639-496f-9e7d-0968d1c218b3,https://www.fire.ca.gov/incidents/2019/10/31/maria-fire/,2019-11-06T18:00:00Z,2019-11-06,2019-10-31,N,True,False
"Sobrante Fire ",True,2019-11-05T08:56:21Z,2019-11-01T13:04:34Z,"CAL FIRE Riverside County Fire Department ",,Riverside,"off of La Sierra Ave and Tin Mine Road,  East of Corona ",19,100,,"CAL FIRE Riverside County Fire Department ",-117.461363,33.849906,Wildfire,305f30f5-622d-4c55-8813-45ffbc15aed0,https://www.fire.ca.gov/incidents/2019/11/1/sobrante-fire/,2019-11-01T08:55:00Z,2019-11-01,2019-11-01,N,True,False
Ranch Fire,True,2019-11-18T08:28:54Z,2019-11-03T14:16:17Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Colyer Springs Rd and Raglin Ridge Rd, southwest of Red Bluff",2534,100,,"Cooperating Agencies: California Department of Corrections, Tehama County Sheriffs Department, Bureau of Land Management, Tehama County Fire Dept. El Camino Co. 9, Mendocino National Forest, CHP, California Office of Emergency Services, Tehama County Public Works",-122.637837,40.036379,Wildfire,69d98a94-4980-4dc0-b388-61c37c635f32,https://www.fire.ca.gov/incidents/2019/11/3/ranch-fire/,2019-11-14T18:02:00Z,2019-11-14,2019-11-03,N,True,False
Eagle Fire,True,2019-11-14T18:26:01Z,2019-11-05T06:52:14Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Walker Ridge Road and Bartlett Springs Road, northeast of Clearlake",75,100,,,-122.496548,39.100408,Wildfire,600d608d-6279-435d-bc9b-99aacaa5e80f,https://www.fire.ca.gov/incidents/2019/11/5/eagle-fire/,2019-11-06T18:30:00Z,2019-11-06,2019-11-05,N,True,False
Foothills Fire,True,2019-11-25T20:31:36Z,2019-11-25T12:39:44Z,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,"Foothills and McAnally Drive, northwest of Roseville",355,100,,,-121.325842,38.838992,Wildfire,77d64e4c-a50f-4f4d-a750-e6a6f0ddadc9,https://www.fire.ca.gov/incidents/2019/11/25/foothills-fire/,,,2019-11-25,N,True,False
"Cashe Fire ",True,2019-12-03T16:35:20Z,2019-11-25T12:02:02Z,Yolo County Fire Protection District,,Yolo,"County Road 102 and County Road 17, North of Woodland",,,,,-121.729691,38.734634,Wildfire,9c26f915-1b33-422d-b30a-9eb4da6fd729,https://www.fire.ca.gov/incidents/2019/11/25/cashe-fire/,,,2019-11-25,N,False,False
Cave Fire (No Longer a CAL FIRE Incident),True,2019-12-16T08:23:04Z,2019-11-25T19:59:12Z,Los Padres National Forest,,Santa Barbara,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,3126,100,,"Santa Barbara County Fire Department, CAL FIRE San Luis Obispo Unit",-119.785,34.5025,Wildfire,7555692b-f672-4660-8f15-d0dab068a193,https://www.fire.ca.gov/incidents/2019/11/25/cave-fire-no-longer-a-cal-fire-incident/,2019-12-14T08:22:00Z,2019-12-14,2019-11-25,N,False,False
"Bear Fire ",True,2020-02-16T09:24:05Z,2020-02-15T17:48:27Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15,100,,,-123.6378411,40.511092,Wildfire,94f20083-2412-4058-bc16-afa6b45c3935,https://www.fire.ca.gov/incidents/2020/2/15/bear-fire/,,,2020-02-15,N,True,False
Antelope Fire,True,2020-02-24T14:41:27Z,2020-02-17T15:04:08Z,USFS Tahoe National Forest,,Sierra,"Hwy 49 and Fillippini Road, Sierraville",102,100,,,-120.3291855,39.6923001,Wildfire,c9bb59f7-be32-4296-8c11-3f1233116827,https://www.fire.ca.gov/incidents/2020/2/17/antelope-fire/,2020-02-20T14:40:00Z,2020-02-20,2020-02-17,N,False,False
Beegum Fire,True,2020-02-24T14:32:24Z,2020-02-23T08:35:30Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Off of Highway 36 West and Tedoc Rd, West of Red Bluff",75,100,,,-122.84722222,40.33583333,Wildfire,f6e7a62d-4796-452d-8e41-66ed1aef6d63,https://www.fire.ca.gov/incidents/2020/2/23/beegum-fire/,2020-02-24T14:32:00Z,2020-02-24,2020-02-23,N,True,False
Wood Fire,True,2020-02-24T14:45:55Z,2020-02-23T17:50:20Z,Bureau of Land Management,,Lassen,"Off Horselake Road and Woodranch Road, East of Susanville",57,100,,Bureau of Land Management,-120.49392,40.62155,Wildfire,edd2012d-0574-46a1-97d5-9ca42e7c5912,https://www.fire.ca.gov/incidents/2020/2/23/wood-fire/,2020-02-23T14:45:00Z,2020-02-23,2020-02-23,N,False,False
Baseball Fire,True,2020-03-09T11:22:07Z,2020-02-25T14:17:21Z,Mendocino National Forest,,"Glenn, Mendocino","Off Atchison Creek, East of Covelo",211,100,,"Mendocino National Forest ",-122.94111111,39.75638899,Wildfire,ad9ab6b9-53ed-417c-a490-6b594974f110,https://www.fire.ca.gov/incidents/2020/2/25/baseball-fire/,2020-03-03T11:21:00Z,2020-03-03,2020-02-25,N,False,False
Grizzly Fire,True,2020-03-05T07:27:29Z,2020-03-02T14:08:05Z,"CAL FIRE Tehama-Glenn Unit ",,Glenn,"Grizzly Flat Recreation Area, west of Orland",154,100,,,-122.384532,39.774968,Wildfire,405d5f3f-66c9-4b69-8660-82780fa582b5,https://www.fire.ca.gov/incidents/2020/3/2/grizzly-fire/,2020-03-05T07:26:00Z,2020-03-05,2020-03-02,N,True,False
Mann Fire,True,2020-03-06T20:15:27Z,2020-03-03T11:13:50Z,CAL FIRE/ Riverside County Fire Department,,Riverside,"Santa Ana Riverbottom near California Ave and Grulla Ct,  South of Jurupa Valley ",180,100,,CAL FIRE/ Riverside County Fire Department,-117.51793,33.96957,Wildfire,e1298aaa-1337-412e-ba09-7b29e87dad8b,https://www.fire.ca.gov/incidents/2020/3/3/mann-fire/,,,2020-03-03,N,True,False
Baker Fire,True,2020-03-18T10:48:19Z,2020-03-03T15:20:43Z,Tahoe National Forest,,Yuba,"Near Bullards Bar Reservoir, West of Camptonville ",,,,"Tahoe National Forest ",-121.12381,39.45493,Wildfire,7411452c-1613-4e4f-afe6-865db0c476c4,https://www.fire.ca.gov/incidents/2020/3/3/baker-fire/,,,2020-03-03,N,False,False
South Main Fire,True,2020-03-09T11:20:45Z,2020-03-06T12:44:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Off South Main Divide & Hacienda Rd, El Cariso",20,100,,,-117.40906,33.65263,Wildfire,083f1638-4369-410f-9b57-d53cfaa938f7,https://www.fire.ca.gov/incidents/2020/3/6/south-main-fire/,,,2020-03-06,N,True,False
"Carter Fire ",True,2020-04-20T13:51:38Z,2020-04-04T20:22:08Z,Imperial County Fire Departmant,,Imperial,"Off Austin Road  and Weaver Road, South of Brawley",275,100,,Imperial County Fire Departmant,-115.5865,32.93432,Wildfire,a87d4713-817a-47ac-9fa5-427c474cf9a5,https://www.fire.ca.gov/incidents/2020/4/4/carter-fire/,2020-04-12T13:51:00Z,2020-04-12,2020-04-04,N,False,False
"Red Fire ",True,2020-04-26T09:53:40Z,2020-04-23T20:52:04Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Red Bank Road, Southwest of Red Bluff",26,100,,,-122.43905,40.09554,Wildfire,3eff88c0-89ee-4abe-8f6d-f74b90c42f30,https://www.fire.ca.gov/incidents/2020/4/23/red-fire/,2020-04-24T09:53:00Z,2020-04-24,2020-04-23,N,True,False
Bar Fire,True,2020-05-01T16:49:57Z,2020-04-25T14:59:00Z,CAL FIRE Shasta-Trinity Unit,,Trinity,Bar K Rd & Shady Creek Lane in Douglas City,55,100,,,-122.97693,40.63442,Wildfire,4b1b0f5b-a4f9-4965-ad6a-029c9d89c68c,https://www.fire.ca.gov/incidents/2020/4/25/bar-fire/,,,2020-04-25,N,True,False
Byron Fire,True,2020-04-27T20:34:21Z,2020-04-27T14:59:04Z,Contra Costa Fire Protection District,,Contra Costa,"Byron Highway and Bruns Ave, southeast of Byron",47,100,,Contra Costa Fire Protection District,-121.595225,37.82066,Wildfire,18b88d88-2c76-41cb-9b07-5c9dda8f56d9,https://www.fire.ca.gov/incidents/2020/4/27/byron-fire/,2020-04-27T20:33:00Z,2020-04-27,2020-04-27,N,False,False
Interstate 5 Fire,True,2020-05-07T13:31:33Z,2020-05-03T15:52:04Z,Kings County Fire Department,,Kings,"Interstate 5 & Avenal Cutoff, south of Fresno County line",2060,100,,Kings County Fire Department,-120.106407,36.075003,Wildfire,2dac9fb4-1c2a-405a-93be-92ed7788a1d2,https://www.fire.ca.gov/incidents/2020/5/3/interstate-5-fire/,2020-05-03T13:31:00Z,2020-05-03,2020-05-03,N,False,False
Hollister Fire,True,2020-05-18T13:50:33Z,2020-05-07T08:10:19Z,Santa Barbara County Fire Department,,Santa Barbara,"Hollister Ranch, West of Goleta in Gaviota",156,100,Forward spread has stopped,Santa Barbara County Fire Department,-120.29379,34.47438,Wildfire,d0dbf515-0e04-42d9-a46b-8ea21d18374a,https://www.fire.ca.gov/incidents/2020/5/7/hollister-fire/,2020-05-09T13:50:00Z,2020-05-09,2020-05-07,N,False,False
Candy Fire,True,2020-07-24T15:35:00Z,2020-05-08T14:46:20Z,CAL FIRE/Butte County Fire,,Butte,"Candy Cane Ln and Apache Hill Rd, west of Palermo",17,100,,CAL FIRE/Butte County Fire,-121.47273,39.42208,Wildfire,9a8425a9-f3ba-4afe-82d2-d9a9776959aa,https://www.fire.ca.gov/incidents/2020/5/8/candy-fire/,2020-05-08T15:21:00Z,2020-05-08,2020-05-08,N,False,False
Gilman Fire,True,2020-05-19T12:01:22Z,2020-05-18T13:38:14Z,"CAL FIRE / Riverside County Fire ",,Riverside,"Gilman Springs Road and Slegers Street, Southeast of Moreno Valley",20,100,,"CAL FIRE / Riverside County Fire ",-117.024114,33.861054,Wildfire,3788f0dd-0d61-4458-95a2-ebda03b815b2,https://www.fire.ca.gov/incidents/2020/5/18/gilman-fire/,2020-05-18T18:11:00Z,2020-05-18,2020-05-18,N,True,False
Acres Fire,True,2020-05-21T19:20:59Z,2020-05-21T11:30:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Near Road 602 and Road 603,152,100,,,-119.982359,37.11715,Wildfire,0fa5653a-c3c8-4aad-84ce-8d1dd74f211b,https://www.fire.ca.gov/incidents/2020/5/21/acres-fire/,,,2020-05-21,N,False,False
"Spanish Fire ",True,2020-05-23T14:42:38Z,2020-05-22T15:27:09Z,"CAL FIRE Sonoma Lake Napa Unit ",,Napa,"Spanish Valley Trail and Stagecoach Canyon, Northwest of Lake Berryessa",20,100,,,-122.403634,38.697834,Wildfire,adbbc326-9f9a-434d-b18b-67a44f3906e5,https://www.fire.ca.gov/incidents/2020/5/22/spanish-fire/,2020-05-23T14:00:00Z,2020-05-23,2020-05-22,N,False,False
Range Fire,True,2020-05-28T08:23:28Z,2020-05-27T19:33:55Z,Department of Defense,,San Luis Obispo,Range M22 Camp Roberts Military Reserve,5000,100,"The Range Fire started May 27, 2020 near Range M22 Camp Roberts Military Reserve, north of San Luis Obispo in San Luis Obispo County.",Department of Defense,-120.70524,35.34237,Wildfire,53d70cde-ef0f-49c1-80a9-dc306a8cc043,https://www.fire.ca.gov/incidents/2020/5/27/range-fire/,2020-05-28T06:45:00Z,2020-05-28,2020-05-27,N,False,False
Harley Fire,True,2020-05-28T21:18:24Z,2020-05-28T17:08:59Z,"CAL FIRE / Riverside County Fire ",,Riverside,"19000 Block of Gustin Road, East of Lake Mathews",60,100,,,-117.34934,33.83167,Wildfire,57f40970-22b5-4d75-a8f2-2482a18f5bca,https://www.fire.ca.gov/incidents/2020/5/28/harley-fire/,2020-05-28T20:30:00Z,2020-05-28,2020-05-28,N,True,False
Creek Fire,True,2020-05-30T18:06:45Z,2020-05-30T17:48:59Z,CAL FIRE Santa Clara Unit,,Contra Costa,"Round Valley Regional Park,  southwest of  Brentwood in Contra Costa County",60,50,,,-86.8616,35.9994,Wildfire,0e1e69d4-cb59-4228-8c55-f18e6b5ad71c,https://www.fire.ca.gov/incidents/2020/5/30/creek-fire/,,,2020-05-30,N,True,False
Scorpion Fire,True,2020-06-01T18:06:04Z,2020-05-31T18:09:09Z,,,Santa Barbara,Scorpion Valley on Santa Cruz Island in Santa Barbara county,1395,100,,Channel Islands National Park,-119.74577,34.01389,Wildfire,7a979a96-aeab-4afd-b55f-532882f36a6b,https://www.fire.ca.gov/incidents/2020/5/31/scorpion-fire/,,,2020-05-31,N,False,False
Acres Fire,True,2020-06-01T17:30:29Z,2020-06-01T15:29:05Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"Road 600 and Road 603,",237,100,,,-119.93221,37.11806,Wildfire,8ad07f5d-c8eb-43c3-94d5-547ee9c0e5cd,https://www.fire.ca.gov/incidents/2020/6/1/acres-fire/,,,2020-06-01,N,True,False
Amoruso Fire,True,2020-06-01T16:44:41Z,2020-06-01T15:52:43Z,"Unified command: CAL FIRE, Placer County Fire Department and Placer County Sheriffs Office",,Placer,"Sunset Blvd West and Amoruso Way, southwest of Lincoln",650,100,,,-121.390862,38.824371,Wildfire,a47ae21e-d488-4978-ade9-aeed0db63fa6,https://www.fire.ca.gov/incidents/2020/6/1/amoruso-fire/,,,2020-06-01,N,True,False
Nash Fire,True,2020-06-01T19:10:03Z,2020-06-01T17:41:59Z,CAL FIRE Mendocino Unit,,Mendocino,Nash Mill Rd and Big Meadow Rd,10,100,,,-123.48018,39.1296,Wildfire,0b723ec6-680d-464b-ba30-b444506ceb44,https://www.fire.ca.gov/incidents/2020/6/1/nash-fire/,,,2020-06-01,N,False,False
"Horn Fire ",True,2020-06-02T18:33:56Z,2020-06-02T17:01:52Z,Northern California District - Susanville,,Lassen,"Horn Road and Mail Route Road, east of Ravendale in Lassen County. ",37,100,,,-120.288882,40.809323,Wildfire,0eca3343-e9f9-4d09-9fc3-95ab90b153ae,https://www.fire.ca.gov/incidents/2020/6/2/horn-fire/,2020-06-02T18:33:00Z,2020-06-02,2020-06-02,N,False,False
Smoketree Fire,True,2020-06-17T08:35:01Z,2020-06-02T19:38:16Z,City of Palm Springs City Fire/ California Desert District,,Riverside,East Murray Canyon Dr and S Toledo Ave,129,100,,,-116.524014,33.782532,Wildfire,94b147a7-68ac-4e60-ba42-81fce8facd30,https://www.fire.ca.gov/incidents/2020/6/2/smoketree-fire/,2020-06-07T08:34:00Z,2020-06-07,2020-06-02,N,False,False
Wildlife Fire,True,2020-06-10T09:27:21Z,2020-06-03T18:26:25Z,Suisun City Fire Department,,Solano,Kellogg St and Maple St,300,100,,,-122.042199,38.232281,Wildfire,2672d8d0-6523-40da-ae4e-6ae6d48e810a,https://www.fire.ca.gov/incidents/2020/6/3/wildlife-fire/,2020-06-04T09:26:00Z,2020-06-04,2020-06-03,N,False,False
Silver Fire,True,2020-06-04T17:37:30Z,2020-06-04T07:38:05Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Dutch Flat Trail, East of San Jose",19,100,,,-121.726223,37.329163,Wildfire,0416a81f-0a17-4835-b05e-fe59a6e7379a,https://www.fire.ca.gov/incidents/2020/6/4/silver-fire/,,,2020-06-04,N,False,False
Brock Fire,True,2020-06-10T07:31:01Z,2020-06-04T16:36:17Z,U.S Forest Service - Shasta-Trinity National Forest,,Shasta,"Lake Shasta, West of Round Mountain",15,100,,,-122.097933,40.837885,Wildfire,a5085c95-252d-4d1c-9e8a-6657a74b7ed5,https://www.fire.ca.gov/incidents/2020/6/4/brock-fire/,2020-06-04T07:30:00Z,2020-06-04,2020-06-04,N,False,False
Colleen Fire,True,2020-06-07T07:43:06Z,2020-06-04T19:36:47Z,Unified Command: CAL FIRE Santa Clara Unit and City of San Jose,,Santa Clara,"Colleen Dr, South San Jose",126,100,Evacuations in progress,City of San Jose,-121.851895,37.229703,Wildfire,3837f75a-208d-41d0-8d89-5719a11912ef,https://www.fire.ca.gov/incidents/2020/6/4/colleen-fire/,2020-06-07T07:42:00Z,2020-06-07,2020-06-04,N,False,False
Karchner Fire,True,2020-06-05T12:33:42Z,2020-06-05T09:04:00Z,"CAL FIRE Nevada Yuba Placer Unit ",,Placer,"Karchner Road and Riosa Road, East of Wheatland",39,100,,,-121.340239,38.98487,Wildfire,57a6f6b7-eba1-4ed7-ba7b-6b078b06731d,https://www.fire.ca.gov/incidents/2020/6/5/karchner-fire/,2020-06-05T12:32:00Z,2020-06-05,2020-06-05,N,True,False
Lakeville Fire,True,2020-06-06T18:39:42Z,2020-06-05T16:56:55Z,"CAL FIRE Sonoma Lake Napa Unit ",,Sonoma,"Lakeville Highway and Stage Gulch Road, Southeast of Petaluma",141,100,,,-122.549816,38.224849,Wildfire,db5ad2e7-dc3d-41f2-91b4-4019857ee51e,https://www.fire.ca.gov/incidents/2020/6/5/lakeville-fire/,2020-06-06T18:37:00Z,2020-06-06,2020-06-05,N,True,False
"McGary Fire ",True,2020-06-10T15:11:25Z,2020-06-05T17:09:00Z,Cordelia Fire Department,,Solano,"McGary Road and Highway 80, Southwest of Cordelia",79,100,,Cordelia Fire Department,-122.156313,38.196893,Wildfire,5698ae57-d61f-421b-8b75-623e9aa6debb,https://www.fire.ca.gov/incidents/2020/6/5/mcgary-fire/,2020-06-05T15:10:00Z,2020-06-05,2020-06-05,N,False,False
Gulch Fire,True,2020-06-08T18:33:16Z,2020-06-06T16:19:20Z,"CAL FIRE Sonoma Lake Napa Unit ",,Sonoma,"Stage Gulch Road and  Lakeville Highway, North of Lakeville",107,100,,,-122.536406,38.216134,Wildfire,e3e89516-4647-44bf-bd24-3293303f0776,https://www.fire.ca.gov/incidents/2020/6/6/gulch-fire/,2020-06-08T18:30:00Z,2020-06-08,2020-06-06,N,True,False
Quail Fire,True,2020-08-13T11:22:09Z,2020-06-06T16:36:26Z,"CALFIRE Sonoma Lake Napa Unit ",,Solano,"Quail Canyon Road and Pleasants Valley Road, Southwest of Winters",1837,100,,"Cooperating Agencies: Vacaville City FD, Vacaville FPD, Montezuma FPD, Vallejo, Suisun City FD, Suisun FPD, Fairfield FP, Dixon FD, CDCR Vacaville, Cordelia FPD, Madison FPD, Winters FD Strike teams from: Contra Costa County, Marin County, San Francisco County",-122.038208,38.470809,Wildfire,74b04a44-7cc1-4c8e-bd9e-9f3efa631df4,https://www.fire.ca.gov/incidents/2020/6/6/quail-fire/,2020-06-10T07:48:00Z,2020-06-10,2020-06-06,N,True,False
"Willow Fire ",True,2020-06-07T07:55:42Z,2020-06-06T18:00:51Z,"CALFIRE Santa Clara Unit ",,Contra Costa,"Willow Pass Court and Evora Road, Northeast of Concord",100,100,,,-122.002811,37.994368,Wildfire,b5527f83-ebbe-4b09-a701-4b4fe6d37b45,https://www.fire.ca.gov/incidents/2020/6/6/willow-fire/,2020-06-07T07:52:00Z,2020-06-07,2020-06-06,N,False,False
Bitterwater Fire,True,2020-06-08T14:42:39Z,2020-06-07T14:43:51Z,CAL FIRE San Benito-Monterey,,Monterey,"off Bitterwater road, northeast of King City in Monterey County. ",211,100,,,-121.0781,36.2644,Wildfire,9247b89a-38f0-4e14-ac4a-59386cf867b4,https://www.fire.ca.gov/incidents/2020/6/7/bitterwater-fire/,,,2020-06-07,N,True,False
Hunters Fire,True,2020-06-10T07:03:48Z,2020-06-07T19:15:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa," Hunters Valley Road and Detwiler Road in Mariposa County. ",85,100,,,-120.215454,37.61955,Wildfire,876b63ff-62a2-4584-8aa2-d99f027c0e9f,https://www.fire.ca.gov/incidents/2020/6/7/hunters-fire/,2020-06-10T07:03:00Z,2020-06-10,2020-06-07,N,True,False
Sperry Fire,True,2020-08-13T11:22:26Z,2020-06-08T13:55:53Z,"CAL FIRE Santa Clara Unit ",,Stanislaus,"Diablo Grande Parkway and Del Puerto Canyon Road, West of Patterson",80,100,,,-121.16483,37.463636,Wildfire,5a6e0c14-2906-4547-8024-e7b33071104b,https://www.fire.ca.gov/incidents/2020/6/8/sperry-fire/,2020-06-08T18:42:00Z,2020-06-08,2020-06-08,N,True,False
Grand Fire,True,2020-06-09T12:24:46Z,2020-06-08T15:45:17Z,"CAL FIRE / Riverside County Fire ",,Riverside,"S Main Divide Road near DeCariso Road, West of Lake Elsinore ",27,100,,"CAL FIRE / Riverside County Fire ",-117.37581,33.638067,Wildfire,8a4b6636-55b6-4999-9de4-7b0cb22390a2,https://www.fire.ca.gov/incidents/2020/6/8/grand-fire/,2020-06-09T09:51:00Z,2020-06-09,2020-06-08,N,True,False
"Bradley Fire ",True,2020-06-09T12:24:17Z,2020-06-08T16:16:07Z,"CAL FIRE San Benito Monterey Unit ",,Monterey,"Sargents Canyon and Alvardo Road, North of Bradley",230,100,,,-120.81509,35.94979,Wildfire,6b50bab1-7dcf-43c8-b4d1-afada595dd32,https://www.fire.ca.gov/incidents/2020/6/8/bradley-fire/,2020-06-09T12:24:00Z,2020-06-09,2020-06-08,N,True,False
Sierra Fire,True,2020-08-13T11:22:36Z,2020-06-08T17:46:04Z,Corona Fire Department,,Riverside," La Sierra Avenue and Cajalco Road",100,100,,Corona Fire Department,-117.46036,33.82925,Wildfire,125e30fa-37fb-46ea-86ab-13058518aab6,https://www.fire.ca.gov/incidents/2020/6/8/sierra-fire/,2020-06-09T18:45:00Z,2020-06-09,2020-06-08,N,False,False
Oak Fire,True,2020-06-08T20:50:06Z,2020-06-08T20:50:06Z," CAL FIRE Riverside County Fire Department",,Riverside," 45000 Block of Castile Canyon Road, East of San Jacinto in Riverside County is 15 acres.",20,100,,,-116.89655,33.78275,Wildfire,fdd59b55-6aa2-442f-b788-e1291bb49cb1,https://www.fire.ca.gov/incidents/2020/6/8/oak-fire/,2020-06-08T20:46:00Z,2020-06-08,2020-06-08,N,True,False
"Cronan Fire ",True,2020-06-10T18:11:53Z,2020-06-09T14:35:25Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"at Cronan Ranch off of Pedro Hill, near the community of Pilot Hill",29,100,,,-120.988571,38.827755,Wildfire,d77e9eeb-a4ed-41b8-adff-9dd99aac5971,https://www.fire.ca.gov/incidents/2020/6/9/cronan-fire/,,,2020-06-09,N,True,False
